id,date,fk_salon,fk_client,price,rating
157,2003-04-20 03:53:42.800,1,674-211-8967,760.5,1.5
158,2003-05-02 19:01:00.200,8,451-998-4256,125.0,5.0
159,2003-05-05 08:36:17.600,45,630-294-1971,52.25,3.0
160,2003-05-13 14:07:07.000,7,764-124-1912,136.0,3.0
161,2003-05-20 01:51:32.400,21,467-440-0864,115.0,5.0
162,2003-06-03 16:45:51.800,13,788-957-4051,108.75,6.0
163,2003-06-09 01:51:43.200,31,499-231-5661,361.25,2.0
164,2003-06-13 03:41:45.600,47,530-482-4004,22.77,3.0
165,2003-06-20 10:22:35.000,37,390-966-2897,200.0,2.5
166,2003-06-29 23:36:11.400,5,960-555-9427,128.125,5.0
167,2003-07-05 19:13:17.800,31,529-831-1000,58.75,4.0
168,2003-07-19 01:46:01.200,34,694-956-8185,51.0,4.0
169,2003-07-21 08:20:27.600,47,676-260-4530,111.25,9.0
170,2003-07-31 20:56:40.000,36,367-572-9573,430.0,3.5
171,2003-08-07 11:20:37.400,6,451-365-2122,354.0,7.0
172,2003-08-17 07:52:16.800,15,186-112-0706,42.0,6.0
173,2003-08-24 13:41:27.200,10,549-635-2732,123.0,5.0
174,2003-08-31 10:35:27.600,36,539-796-4118,164.0,8.0
175,2003-09-09 09:32:56.000,19,730-439-5534,70.25,7.5
176,2003-09-18 11:23:24.400,8,491-809-1838,78.125,5.5
177,2003-09-20 11:35:58.800,41,590-609-4258,49.0,4.5
178,2003-10-03 12:11:50.200,22,189-232-0915,67.25,5.0
179,2003-10-08 18:19:33.600,49,697-410-0242,336.9,7.0
180,2003-10-18 23:17:30.000,34,210-429-9522,41.9,4.5
181,2003-10-23 21:38:28.400,24,116-895-8825,34.5,1.5
182,2003-10-29 09:34:03.800,43,162-542-1920,55.25,6.0
183,2003-11-12 08:52:54.200,19,776-884-5520,150.0,7.5
184,2003-11-14 11:47:49.600,2,559-775-7144,120.25,9.0
185,2003-11-26 02:55:06.000,19,933-164-4896,57.5,9.0
186,2003-11-30 08:28:21.400,46,350-291-7783,965.0,7.0
187,2003-12-09 04:03:55.800,31,696-408-8608,49.5,5.5
188,2003-12-20 00:13:32.200,39,327-858-7659,206.0,1.5
189,2003-12-23 14:55:41.600,46,901-873-8611,45.0,5.0
190,2003-12-31 02:49:47.000,7,727-966-0828,172.0,4.5
191,2004-01-11 14:09:05.400,7,243-845-6140,43.125,4.0
192,2004-01-13 06:32:58.800,19,545-760-7797,147.75,3.5
193,2004-01-26 18:05:15.200,23,623-562-3459,175.0,3.5
194,2004-02-01 18:31:48.600,36,600-181-5351,843.0,10.0
195,2004-02-06 04:04:21.000,34,848-542-0673,81.75,1.5
196,2004-02-18 10:05:43.400,3,658-393-4046,84.75,7.0
197,2004-02-23 02:16:48.800,25,290-960-3858,387.75,5.5
198,2004-03-02 19:50:34.200,2,831-070-7458,56.9,5.5
199,2004-03-10 13:03:14.600,47,320-444-3329,98.0,6.5
200,2004-03-18 12:29:26.000,43,531-808-4259,6.9,9.0
201,2004-03-24 14:58:24.400,20,252-374-8077,825.0,8.0
202,2004-03-30 21:42:10.800,0,801-603-4272,31.25,8.0
203,2004-04-10 15:24:42.200,24,208-991-2661,13.8,7.0
204,2004-04-17 02:12:54.600,8,658-393-4046,28.75,1.0
205,2004-04-25 00:52:03.000,38,708-577-4608,28.75,4.0
206,2004-05-04 14:27:46.400,13,554-197-6408,24.0,4.0
207,2004-05-13 08:50:58.800,8,408-849-4846,140.0,7.0
208,2004-05-16 11:08:49.200,34,895-291-4275,6.9,2.0
209,2004-05-29 03:12:47.600,37,637-873-4099,825.0,9.0
210,2004-06-05 05:37:44.000,20,302-277-0906,264.0,6.0
211,2004-06-14 02:55:07.400,38,231-037-4692,57.75,4.0
212,2004-06-17 22:03:20.800,19,414-741-7004,31.25,2.0
213,2004-06-26 10:11:22.200,39,243-845-6140,140.0,1.0
214,2004-07-05 04:18:13.600,48,547-492-3170,5.5200000000000005,10.0
215,2004-07-07 14:25:42.000,39,553-073-7598,31.25,6.0
216,2004-07-16 19:42:54.400,3,653-663-7720,112.0,6.0
217,2004-07-27 18:28:52.800,23,256-237-4537,30.0,1.0
218,2004-08-03 17:56:10.200,47,197-296-5290,31.25,3.0
219,2004-08-13 03:01:22.600,12,153-194-6680,57.75,4.0
220,2004-08-17 05:38:36.000,20,229-297-9879,31.25,8.0
221,2004-08-29 12:26:02.400,6,407-978-0462,6.210000000000001,1.0
222,2004-09-05 19:26:04.800,19,774-828-4870,16.2,3.0
223,2004-09-10 03:53:28.200,21,992-348-0202,17.25,3.0
224,2004-09-14 19:24:27.600,36,763-020-7554,36.225,6.0
225,2004-09-29 11:49:48.000,40,696-838-5876,35.0,10.0
226,2004-10-04 23:12:45.400,38,135-831-7751,80.0,7.0
227,2004-10-10 00:50:21.800,37,368-466-8873,6.210000000000001,6.0
228,2004-10-21 14:34:12.200,2,378-576-7302,28.0,3.0
229,2004-10-27 07:03:36.600,3,651-273-0891,40.25,7.0
230,2004-11-03 21:08:06.000,34,464-215-6694,50.0,7.0
231,2004-11-10 06:22:28.400,13,683-810-6740,5.5200000000000005,7.0
232,2004-11-21 09:42:27.800,5,270-811-0591,57.75,4.0
233,2004-11-27 09:12:45.200,10,808-398-5152,28.125,10.0
234,2004-12-07 04:46:51.600,23,676-260-4530,24.0,7.0
235,2004-12-15 00:56:19.000,41,521-962-6426,17.25,4.0
236,2004-12-20 10:26:35.400,2,554-221-1309,100.0,8.0
237,2004-12-28 21:28:35.800,1,826-213-6047,35.0,3.0
238,2005-01-03 02:48:03.200,5,210-429-9522,57.75,5.0
239,2005-01-13 17:42:00.600,34,651-273-0891,72.0,9.0
240,2005-01-17 12:36:49.000,32,926-805-1334,31.25,10.0
241,2005-01-28 23:43:56.400,31,980-779-1947,24.0,2.0
242,2005-01-31 04:19:18.800,13,514-629-5037,35.0,8.0
243,2005-02-07 10:01:32.200,13,767-411-6326,140.0,7.0
244,2005-02-15 14:01:21.600,47,988-076-8336,31.25,9.0
245,2005-03-01 08:59:59.000,47,879-694-6194,100.0,3.0
246,2005-03-08 03:34:13.400,12,941-890-2211,31.25,3.0
247,2005-03-11 20:55:55.800,20,584-069-4864,50.0,8.0
248,2005-03-23 07:50:22.200,40,968-634-3043,17.25,2.0
249,2005-03-26 10:16:21.600,47,493-356-2698,31.25,1.0
250,2005-04-04 13:38:16.000,20,212-379-2188,6.9,2.0
251,2005-04-10 20:51:23.400,22,490-499-4656,825.0,3.0
252,2005-04-21 02:03:16.800,13,884-011-4729,330.0,5.0
253,2005-04-27 13:02:34.200,22,347-561-0842,330.0,4.0
254,2005-05-03 16:50:27.600,48,841-185-8167,80.0,9.0
255,2005-05-15 10:10:29.000,8,297-977-5680,825.0,1.0
256,2005-05-24 10:17:46.400,30,162-542-1920,18.0,6.0
257,2005-05-30 16:31:44.800,11,904-917-2098,50.0,1.0
258,2005-06-09 18:01:28.200,1,367-572-9573,100.0,4.0
259,2005-06-11 21:38:16.600,16,663-578-5508,297.0,7.0
260,2005-06-21 14:16:30.000,19,136-864-1845,57.75,6.0
261,2005-06-26 00:47:48.400,30,452-940-7907,35.0,5.0
262,2005-07-07 23:28:47.800,25,212-379-2188,28.75,4.0
263,2005-07-14 16:12:05.200,19,407-978-0462,100.0,2.0
264,2005-07-19 13:40:40.600,10,545-436-1753,6.210000000000001,6.0
265,2005-08-02 06:31:54.000,39,444-487-2730,140.0,1.0
266,2005-08-02 16:54:14.400,7,825-440-8350,18.0,8.0
267,2005-08-15 21:32:07.800,7,792-625-6377,330.0,4.0
268,2005-08-20 01:16:05.200,21,761-731-6335,80.0,3.0
269,2005-08-26 06:45:52.600,6,208-991-2661,6.9,5.0
270,2005-09-08 06:35:20.000,16,545-436-1753,80.0,9.0
271,2005-09-12 13:41:48.400,13,361-022-0738,140.0,9.0
272,2005-09-23 10:51:49.800,2,373-828-8136,35.0,4.0
273,2005-09-28 11:46:55.200,38,536-028-4365,28.75,10.0
274,2005-10-02 20:35:47.600,0,390-966-2897,50.0,6.0
275,2005-10-13 03:51:45.000,46,451-365-2122,17.25,2.0
276,2005-10-24 21:12:50.400,16,150-173-2345,35.0,3.0
277,2005-11-01 14:25:04.800,2,695-417-9406,825.0,6.0
278,2005-11-02 17:22:43.200,5,727-472-2839,57.75,6.0
279,2005-11-12 11:08:13.600,45,136-864-1845,264.0,5.0
280,2005-11-22 07:27:35.000,12,180-668-6192,50.0,4.0
281,2005-12-01 14:00:15.400,4,980-779-1947,50.0,10.0
282,2005-12-07 13:09:16.800,35,931-647-3774,35.0,9.0
283,2005-12-16 11:11:44.200,41,935-681-8292,18.0,2.0
284,2005-12-20 20:15:32.600,2,588-072-9538,13.8,9.0
285,2006-01-02 19:18:30.000,23,600-181-5351,35.0,9.0
286,2006-01-09 03:14:53.400,34,725-925-4777,57.75,6.0
287,2006-01-12 09:55:26.800,7,135-844-4485,35.0,6.0
288,2006-01-18 11:44:54.200,17,428-514-7933,297.0,8.0
289,2006-01-26 11:21:25.600,2,529-831-1000,825.0,3.0
290,2006-02-02 21:46:02.000,13,414-340-3398,80.0,4.0
291,2006-02-11 02:04:26.400,33,242-712-4387,330.0,9.0
292,2006-02-22 02:13:43.800,11,178-630-2783,80.0,10.0
293,2006-02-27 06:02:41.200,39,433-738-7780,28.75,4.0
294,2006-03-09 00:10:24.600,43,469-950-6483,742.5,2.0
295,2006-03-17 19:37:43.000,3,143-365-0067,825.0,8.0
296,2006-03-24 20:36:22.400,47,191-891-6214,40.25,6.0
297,2006-03-31 20:22:52.800,31,433-091-7154,19.200000000000003,7.0
298,2006-04-05 01:10:32.200,2,552-016-7528,100.0,7.0
299,2006-04-18 05:53:10.600,36,609-012-0702,16.2,6.0
300,2006-04-27 05:06:27.000,5,391-494-5776,35.0,5.0
301,2006-05-01 09:26:25.400,19,709-840-5862,64.0,8.0
302,2006-05-11 00:42:56.800,42,573-144-9892,51.975,4.0
303,2006-05-13 20:46:29.200,47,871-150-3399,30.0,2.0
304,2006-05-22 06:02:34.600,20,125-409-1798,57.75,5.0
305,2006-06-04 04:31:38.000,22,457-225-1376,140.0,3.0
306,2006-06-07 09:04:43.400,17,189-064-4275,13.8,5.0
307,2006-06-15 08:08:58.800,17,389-385-7849,30.0,1.0
308,2006-06-25 05:56:22.200,10,481-919-6553,15.525,10.0
309,2006-06-29 00:59:01.600,23,830-229-8264,40.25,5.0
310,2006-07-08 05:01:43.000,37,888-352-2913,30.0,2.0
311,2006-07-21 06:16:36.400,49,995-867-6840,46.2,1.0
312,2006-07-28 01:18:06.800,49,552-016-7528,80.0,7.0
313,2006-07-30 06:18:51.200,10,350-795-1039,50.0,2.0
314,2006-08-11 17:33:59.600,21,663-578-5508,30.0,4.0
315,2006-08-18 22:14:27.000,23,531-965-5524,31.5,7.0
316,2006-08-24 03:01:37.400,21,883-852-6314,40.25,9.0
317,2006-08-30 20:10:00.800,22,155-232-0236,51.975,1.0
318,2006-09-09 05:23:07.200,40,107-049-9566,80.0,2.0
319,2006-09-17 23:58:01.600,22,229-297-9879,140.0,9.0
320,2006-09-26 05:24:25.000,31,149-223-6142,57.75,8.0
321,2006-09-30 20:20:59.400,14,286-184-0334,742.5,10.0
322,2006-10-08 07:26:50.800,20,634-811-2387,27.0,10.0
323,2006-10-17 02:35:53.200,19,627-578-1650,15.525,1.0
324,2006-10-25 05:47:07.600,18,499-231-5661,24.0,5.0
325,2006-10-31 04:47:46.000,25,615-940-9612,31.25,3.0
326,2006-11-12 13:04:38.400,44,347-713-8953,31.25,2.0
327,2006-11-15 15:21:54.800,6,367-572-9573,6.9,5.0
328,2006-11-23 23:24:27.200,17,278-889-4055,140.0,8.0
329,2006-12-02 14:47:05.600,39,975-368-5438,100.0,1.0
330,2006-12-13 11:27:05.000,32,992-348-0202,80.0,10.0
331,2006-12-19 22:33:52.400,39,384-987-9163,330.0,5.0
332,2006-12-23 11:59:08.800,31,736-562-2131,825.0,3.0
333,2007-01-02 07:03:06.200,37,575-261-7320,825.0,7.0
334,2007-01-07 19:17:31.600,47,659-106-8203,6.9,5.0
335,2007-01-16 06:23:38.000,36,547-492-3170,57.75,9.0
336,2007-01-26 09:37:23.400,19,199-818-5372,16.2,3.0
337,2007-02-02 12:29:07.800,23,389-385-7849,50.0,3.0
338,2007-02-12 03:08:14.200,19,285-380-8243,35.0,8.0
339,2007-02-18 04:00:18.600,35,725-925-4777,80.0,2.0
340,2007-02-24 15:36:35.000,12,216-315-1427,19.200000000000003,7.0
341,2007-03-05 04:03:07.400,39,267-056-3771,72.0,9.0
342,2007-03-09 03:12:11.800,40,812-799-2221,100.0,6.0
343,2007-03-17 13:23:36.200,2,575-261-7320,35.0,9.0
344,2007-03-23 20:30:40.600,1,470-253-9627,330.0,9.0
345,2007-04-06 17:01:43.000,7,807-034-3972,140.0,6.0
346,2007-04-08 20:14:09.400,7,189-064-4275,330.0,8.0
347,2007-04-19 01:57:02.800,6,954-852-1491,35.0,7.0
348,2007-04-24 20:25:08.200,25,242-712-4387,35.0,6.0
349,2007-05-02 13:45:57.600,40,696-408-8608,140.0,2.0
350,2007-05-14 01:35:27.000,37,453-624-0316,30.0,9.0
351,2007-05-23 15:07:11.400,38,242-712-4387,28.75,1.0
352,2007-05-26 04:58:57.800,26,585-056-7974,40.25,9.0
353,2007-06-01 19:24:25.200,19,307-083-2141,80.0,8.0
354,2007-06-15 22:39:07.600,27,559-378-1293,40.25,9.0
355,2007-06-23 00:46:30.000,25,571-100-4551,140.0,4.0
356,2007-06-29 11:10:26.400,18,941-890-2211,330.0,4.0
357,2007-07-08 03:18:55.800,24,232-067-5977,18.0,8.0
358,2007-07-16 09:29:35.200,46,637-873-4099,825.0,7.0
359,2007-07-19 17:45:10.600,46,991-870-6721,30.0,2.0
360,2007-07-25 20:47:51.000,22,573-144-9892,50.0,6.0
361,2007-08-03 01:21:05.400,7,916-865-0554,35.0,4.0
362,2007-08-09 11:29:24.800,31,452-940-7907,17.25,9.0
363,2007-08-22 04:33:26.200,49,590-609-4258,35.0,10.0
364,2007-08-31 19:21:46.600,0,307-083-2141,24.0,9.0
365,2007-09-08 08:13:55.000,31,637-873-4099,6.9,5.0
366,2007-09-14 07:51:06.400,8,903-236-0766,35.0,6.0
367,2007-09-16 13:35:13.800,40,711-048-1551,57.75,10.0
368,2007-09-25 15:58:56.200,13,391-201-5289,31.25,10.0
369,2007-10-07 03:33:13.600,35,995-867-6840,35.0,8.0
370,2007-10-15 18:51:00.000,48,350-795-1039,24.0,3.0
371,2007-10-20 17:55:11.400,7,868-170-0087,57.75,9.0
372,2007-10-28 20:07:43.800,12,428-514-7933,50.0,5.0
373,2007-11-06 08:42:08.200,22,568-833-2942,28.75,5.0
374,2007-11-12 16:31:12.600,44,556-504-9560,18.0,9.0
375,2007-11-17 02:09:02.000,13,609-612-5090,40.25,3.0
376,2007-12-01 06:34:12.400,35,653-663-7720,6.9,2.0
377,2007-12-05 13:42:37.800,36,350-795-1039,100.0,4.0
378,2007-12-12 05:04:31.200,17,920-249-9540,40.0,1.0
379,2007-12-24 15:03:31.600,45,751-915-8500,140.0,3.0
380,2007-12-27 06:50:41.000,23,270-163-1210,80.0,5.0
381,2008-01-06 16:09:47.400,42,267-056-3771,17.25,1.0
382,2008-01-16 20:07:59.800,9,481-919-6553,35.0,5.0
383,2008-01-21 07:52:50.200,15,494-937-7509,32.2,3.0
384,2008-01-27 12:53:32.600,16,253-203-7174,31.25,2.0
385,2008-02-06 15:29:28.000,35,925-520-8209,30.0,5.0
386,2008-02-15 16:03:09.400,7,839-364-8787,15.525,3.0
387,2008-02-20 15:13:12.800,9,578-112-6285,50.0,7.0
388,2008-02-27 00:38:13.200,11,102-120-9470,330.0,6.0
389,2008-03-08 07:11:14.600,39,920-249-9540,100.0,9.0
390,2008-03-13 13:07:17.000,35,637-873-4099,140.0,6.0
391,2008-03-18 21:36:07.400,6,176-057-2994,35.0,5.0
392,2008-03-28 22:38:52.800,13,617-873-7896,27.0,9.0
393,2008-04-06 08:36:26.200,20,408-413-6613,80.0,7.0
394,2008-04-14 04:16:02.600,23,186-112-0706,30.0,10.0
395,2008-04-24 21:26:02.000,11,346-009-9744,45.0,9.0
396,2008-04-27 14:27:30.400,43,360-146-5268,51.975,3.0
397,2008-05-06 16:23:30.800,13,467-440-0864,17.25,7.0
398,2008-05-16 17:00:15.200,8,852-312-4204,140.0,6.0
399,2008-05-24 22:45:24.600,47,343-499-8729,28.75,10.0
400,2008-05-28 12:23:52.000,16,635-807-9464,50.0,6.0
401,2008-06-09 19:27:29.400,5,184-062-4721,100.0,4.0
402,2008-06-13 08:12:21.800,32,841-514-0733,80.0,10.0
403,2008-06-25 15:49:14.200,23,183-801-8146,25.0,9.0
404,2008-06-30 04:54:33.600,16,576-956-0061,5.5200000000000005,10.0
405,2008-07-09 18:19:54.000,37,635-807-9464,17.25,6.0
406,2008-07-14 00:56:59.400,13,490-922-2193,46.2,8.0
407,2008-07-22 05:09:17.800,39,944-994-6993,80.0,5.0
408,2008-07-30 10:41:01.200,20,828-575-5713,31.25,1.0
